nonlinearity,lambda,p_n,n_d,gen_error
erf,0.001,1.6,1.4,1.0346572236908411
erf,0.001,1.9,1.4,0.9330359507541095
erf,0.001,2.2,1.4,0.8714469847924899
erf,0.001,0.4,1.7,0.736010253968321
erf,0.001,0.7,1.7,0.8144223588540624
erf,0.001,1.0,1.7,1.4602730845581822
erf,0.001,1.3,1.7,1.2329911423705135
erf,0.001,1.6,1.7,1.0043666766538442
erf,0.001,1.9,1.7,0.8800298579368389
erf,0.001,2.2,1.7,0.8051369371186938
erf,0.001,0.4,2.0,0.6089636577970574
erf,0.001,0.7,2.0,0.7983305641349396
erf,0.001,1.0,2.0,1.5395991444633321
erf,0.001,1.3,2.0,1.2535520877136874
erf,0.001,1.6,2.0,0.9845880577359887
erf,0.001,1.9,2.0,0.8398421990945963
erf,0.001,2.2,2.0,0.7532890521950892
erf,0.01,0.4,0.8,1.1594083161496185
erf,0.01,0.7,0.8,1.3456084703391973
erf,0.01,1.0,0.8,1.3281466834852849
erf,0.01,1.3,0.8,1.1744256199443515
erf,0.01,1.6,0.8,1.0623055165702717
erf,0.01,1.9,0.8,0.9912953825194257
erf,0.01,2.2,0.8,0.9441928195418263
erf,0.01,0.4,1.1,1.0095137681088677
erf,0.01,0.7,1.1,1.0211006085540988
erf,0.01,1.0,1.1,0.9797667346608401
erf,0.01,1.3,1.1,0.9154933541324506
erf,0.01,1.6,1.1,0.8657134941515152
erf,0.01,1.9,1.1,0.8314409082827832
erf,0.01,2.2,1.1,0.8073840661015876
erf,0.01,0.4,1.4,0.863254531991682
erf,0.01,0.7,1.4,0.787145869587647
erf,0.01,1.0,1.4,0.791021259012435
erf,0.01,1.3,1.4,0.7718849688197229
erf,0.01,1.6,1.4,0.7442912465146851
erf,0.01,1.9,1.4,0.7209765622450262
erf,0.01,2.2,1.4,0.7028796309407033
erf,0.01,0.4,1.7,0.7254205219835699
erf,0.01,0.7,1.7,0.6443405534794988
erf,0.01,1.0,1.7,0.6943795289373913
erf,0.01,1.3,1.7,0.6884718833071131
erf,0.01,1.6,1.7,0.663417535299982
erf,0.01,1.9,1.7,0.6396658534273518
erf,0.01,2.2,1.7,0.6203785747099242
erf,0.01,0.4,2.0,0.6021805148336448
erf,0.01,0.7,2.0,0.5673555782292741
erf,0.01,1.0,2.0,0.6407118799076033
erf,0.01,1.3,2.0,0.6336075541146793
erf,0.01,1.6,2.0,0.6051282405618879
erf,0.01,1.9,2.0,0.5782394436948814
erf,0.01,2.2,2.0,0.5563863970909162
erf,0.1,0.4,0.8,1.041932797547247
erf,0.1,0.7,0.8,0.9658750077186675
erf,0.1,1.0,0.8,0.8783917863733394
erf,0.1,1.3,0.8,0.8175857697758198
erf,0.1,1.6,0.8,0.7773244487944015
erf,0.1,1.9,0.8,0.7496597583614412
erf,0.1,2.2,0.8,0.7297613070040244
erf,0.1,0.4,1.1,0.915252097795909
erf,0.1,0.7,1.1,0.7893235954876585
erf,0.1,1.0,1.1,0.705215714789959
erf,0.1,1.3,1.1,0.6579761955923209
erf,0.1,1.6,1.1,0.6297165832564304
erf,0.1,1.9,1.1,0.611368492302406
erf,0.1,2.2,1.1,0.5986331844608396
erf,0.1,0.4,1.4,0.7963516494468889
erf,0.1,0.7,1.4,0.6462844177484924
erf,0.1,1.0,1.4,0.5747608984549503
erf,0.1,1.3,1.4,0.5403954920774663
erf,0.1,1.6,1.4,0.5213655760128517
erf,0.1,1.9,1.4,0.5095390000668125
erf,0.1,2.2,1.4,0.5015528247447278
erf,0.1,0.4,1.7,0.6874099681096995
erf,0.1,0.7,1.7,0.5343381095746245
erf,0.1,1.0,1.7,0.478308577085371
erf,0.1,1.3,1.7,0.4542467569943931
erf,0.1,1.6,1.7,0.4415538080408563
erf,0.1,1.9,1.7,0.4338425445430556
erf,0.1,2.2,1.7,0.42869222081226543
erf,0.1,0.4,2.0,0.590272586246775
erf,0.1,0.7,2.0,0.4487305042801524
erf,0.1,1.0,2.0,0.40700369607895226
erf,0.1,1.3,2.0,0.3902898361423688
erf,0.1,1.6,2.0,0.38160789733119094
erf,0.1,1.9,2.0,0.3763155918575225
erf,0.1,2.2,2.0,0.372746495588671
