nonlinearity,lambda,Delta,p_n,n_d,gen_error
sign,0.1,0.0,0.7,2.0,0.14149393891061046
sign,0.1,0.0,0.8,2.0,0.0735027205374772
sign,0.1,0.0,0.9,2.0,0.022814139525582533
sign,0.1,0.1,0.3,2.0,0.6331863571890947
sign,0.1,0.1,0.4,2.0,0.49793948182488845
sign,0.1,0.1,0.5,2.0,0.3747629982858205
sign,0.1,0.1,0.6,2.0,0.269569099890821
sign,0.1,0.1,0.7,2.0,0.1842916907543466
sign,0.1,0.1,0.8,2.0,0.11786018533118181
sign,0.1,0.1,0.9,2.0,0.06744643211411572
sign,0.1,0.1,1.0,2.0,0.029661147947621647
sign,0.1,0.1,1.1,2.0,0.0013678424076266626
sign,0.1,0.5,0.3,2.0,0.722674585248711
sign,0.1,0.5,0.4,2.0,0.6143742114938074
sign,0.1,0.5,0.5,2.0,0.5148528164311468
sign,0.1,0.5,0.6,2.0,0.4283098316219379
sign,0.1,0.5,0.7,2.0,0.3554826981292911
sign,0.1,0.5,0.8,2.0,0.2952900445060007
sign,0.1,0.5,0.9,2.0,0.2459756024682469
sign,0.1,0.5,1.0,2.0,0.20567745774005575
sign,0.1,0.5,1.1,2.0,0.1726783825947753
sign,0.1,0.5,1.2,2.0,0.14550756290366906
sign,0.1,0.5,1.3,2.0,0.12296305442128586
sign,0.1,0.5,1.4,2.0,0.10409087654522997
sign,0.1,0.5,1.5,2.0,0.08814585976753797
sign,0.1,0.5,1.6,2.0,0.07454972619362321
sign,0.1,0.5,1.7,2.0,0.0628538143380899
sign,0.1,0.5,1.8,2.0,0.05270868354222369
sign,0.1,0.5,1.9,2.0,0.04384047801222901
sign,0.1,0.5,2.0,2.0,0.03603293027071852
sign,0.1,0.5,2.1,2.0,0.029113840048037964
sign,0.1,0.5,2.2,2.0,0.022944933933990885
sign,0.1,0.5,2.3,2.0,0.017414234074207835
sign,0.1,0.5,2.4,2.0,0.012430316405323882
sign,0.1,0.5,2.5,2.0,0.007917954792953763
sign,0.1,1.0,0.3,2.0,0.8345348703232315
sign,0.1,1.0,0.4,2.0,0.7599176235799566
sign,0.1,1.0,0.5,2.0,0.6899650891128049
sign,0.1,1.0,0.6,2.0,0.6267357462858342
sign,0.1,1.0,0.7,2.0,0.569471457347972
sign,0.1,1.0,0.8,2.0,0.5170773684745245
sign,0.1,1.0,0.9,2.0,0.46913706541091127
sign,0.1,1.0,1.0,2.0,0.42569784498059815
sign,0.1,1.0,1.1,2.0,0.3868165578287115
sign,0.1,1.0,1.2,2.0,0.3523531972206304
sign,0.1,1.0,1.3,2.0,0.3219818911689267
sign,0.1,1.0,1.4,2.0,0.2952747997541898
sign,0.1,1.0,1.5,2.0,0.2717778300661815
sign,0.1,1.0,1.6,2.0,0.2510576018088382
sign,0.1,1.0,1.7,2.0,0.2327239495004665
sign,0.1,1.0,1.8,2.0,0.21643705710853833
sign,0.1,1.0,1.9,2.0,0.20190641618120853
sign,0.1,1.0,2.0,2.0,0.18888612062516374
sign,0.1,1.0,2.1,2.0,0.17716895246186626
sign,0.1,1.0,2.2,2.0,0.1665804882980293
sign,0.1,1.0,2.3,2.0,0.1569737540717855
sign,0.1,1.0,2.4,2.0,0.14822460572125284
